id,name_en,query,status,result_type,formatted_address,place_id,latitude,longitude,applied
BD-WB-0126,Hurasagar,"Hurasagar, River, Bangladesh",OK,establishment|natural_feature,"হুরাসাগর নদী, Bangladesh",ChIJXbnsWi1y_jkRs5p2rfLJXYY,23.9999515,89.6340867,yes
BD-WB-0127,Kaliganga (Manikganj),"Kaliganga (Manikganj), River, Bangladesh",OK,establishment|natural_feature,"Kaliganga River, Bangladesh",ChIJ6fhmXXiTVTcRol4Gbix_-_s,23.85828249836724,90.01876902090483,yes
BD-WB-0128,Shibsa,"Shibsa, River, Bangladesh",OK,establishment|natural_feature,"Shibsa River, Bangladesh",ChIJaQQAZPhJADoRCIl7h4IOIB0,22.26727579805228,89.4741457568276,yes
BD-WB-0129,Kholpetua,"Kholpetua, River, Bangladesh",OK,establishment|natural_feature,"Kholpetua River, Bangladesh",ChIJgciQlhrIAToRI0v9ub4JMck,22.39149325904194,89.24190295658153,yes
BD-WB-0130,Sugandha,"Sugandha, River, Bangladesh",OK,country|political,Bangladesh,ChIJp4vhgO2qrTARa_zhxOAoLQ8,23.684994,90.356331,yes
BD-WB-0131,Narasunda,"Narasunda, River, Bangladesh",OK,establishment|natural_feature,"Narashunda River, Bangladesh",ChIJXT0MFiWSVjcRJS7YHiZxFTU,24.43612026470998,90.78954290295479,yes
BD-WB-0132,Jingiram,"Jingiram, River, Bangladesh",OK,country|political,Bangladesh,ChIJp4vhgO2qrTARa_zhxOAoLQ8,23.684994,90.356331,yes
BD-WB-0133,Chengi,"Chengi, River, Bangladesh",OK,establishment|natural_feature,"Chengi River, Bangladesh",ChIJnUecpizoUjcRO5I4WvtyMIs,23.19116621648088,91.96869051468124,yes
BD-WB-0134,Maini,"Maini, River, Bangladesh",OK,country|political,Bangladesh,ChIJp4vhgO2qrTARa_zhxOAoLQ8,23.684994,90.356331,yes
BD-WB-0135,Atharabanki,"Atharabanki, River, Bangladesh",OK,administrative_area_level_5|political,"Athara Banki, Bangladesh",ChIJrc8baPlI_TkRcToV9cDlvv8,25.5123652,89.7409297,yes
BD-WB-0136,Arial Khan (Narsingdi),"Arial Khan (Narsingdi), River, Bangladesh",OK,establishment|natural_feature,"Arial Khan River, Bangladesh",ChIJ8zSHruMgVDcRGCf1EK9gMBw,24.07987508553222,90.8532170851439,yes
BD-WB-0137,Ghaghar,"Ghaghar, River, Bangladesh",OK,establishment|natural_feature,"Ghagar River, Bangladesh",ChIJ2yeR_9FhVTcRi6At4S85SYE,23.03991787209658,90.00000000000001,yes
BD-WB-0138,Banar,"Banar, River, Bangladesh",OK,establishment|natural_feature,"Banar River, Bangladesh",ChIJBb5OlgwrVDcRwtOZezU1OEc,24.0728887,90.63386840000001,yes
BD-WB-0139,Mongla,"Mongla, River, Bangladesh",OK,establishment|natural_feature,"Mongla River, Bangladesh",ChIJfzhIRCEiADoRDb2up4Kl67U,22.51816407837504,89.68150786376819,yes
BD-WB-0140,Agunmukha,"Agunmukha, River, Bangladesh",OK,establishment|natural_feature,"Agunmukha River, Bangladesh",ChIJDwQ8MOX6qjARYk6DdG382Uk,21.95094726537947,90.49625522577217,yes
BD-WB-0141,Shahbazpur Channel,"Shahbazpur Channel, River, Bangladesh",OK,establishment|natural_feature,"Shahbazpur Channel, Bangladesh",ChIJqSomL7kTqzARvtUy3i2PJVg,22.23619063388623,90.88669476163244,yes
