SL,Station ID,Station,River,Tidal Status,District,Upazila,Latitude,Longitude,First Date,Last Date
116,SW168,Faridpur,Kumar_Faridpur,Tidal,Faridpur,Faridpur Sadar,23.6010,89.8318,01-04-1950,31-07-2026
117,SW101,Kamarkhali Transit,Gorai-Madhumati-Haringhata-Baleswar,Non-Tidal,Faridpur,Madhukhali,23.5391,89.5169,01-04-1965,31-07-2026
118,SW101.5,Kamarkhali (Gondhakhali),Gorai-Madhumati-Haringhata-Baleswar,Non-Tidal,Faridpur,Madhukhali,23.5278,89.5253,01-04-1979,31-07-2026
119,SW4A,Offtake of Arialkhan,Arial Khan,Tidal,Faridpur,Sadarpur,23.4333,90.0877,06-07-1965,31-07-2026
120,SW85,Sobhapur,Feni,Tidal,Feni,Chhagalnaiya,22.9549,91.5500,01-04-1999,31-03-2015
121,SW86,Shuvopur(Dhumghat),Feni,Tidal,Feni,Chhagalnaiya,22.9538,91.5442,01-06-1956,31-07-2026
122,SW257,Malipur_C,Selonia,Tidal,Feni,Chhagalnaiya,23.0377,91.4389,01-04-1962,31-07-2026
123,SW213,Haripur_C,Muhuri,Tidal,Feni,Chhagalnaiya,23.0356,91.4856,01-04-1968,31-07-2026
124,SW212.5,Fulgazi,Muhuri,Non-Tidal,Feni,Fulgazi,23.1510,91.4362,24-06-2025,31-07-2026
125,SW257.5,Suber Bazar,Selonia,Tidal,Feni,Parshuram,23.2370,91.4144,01-07-2011,30-06-2026
126,SW212,Parshuram,Muhuri,Non-Tidal,Feni,Parshuram,23.2274,91.4464,01-04-1958,30-06-2026
127,SW87,Sonapur,Feni,Tidal,Feni,Sonagazi,22.8369,91.4530,01-04-1968,31-07-2026
128,SW46.7R,Kristomonichar,Brahmaputra-Jamuna,Tidal,Gaibandha,Fulchhari,25.2059,89.6800,01-04-1964,30-09-2003
129,SW46.9R,Fulchari_Transit,Brahmaputra-Jamuna,Non-Tidal,Gaibandha,Fulchhari,25.1871,89.5993,01-04-1964,30-06-2026
130,SW46,Kamarjani,Brahmaputra-Jamuna,Non-Tidal,Gaibandha,Fulchhari,25.4094,89.6259,01-04-1957,30-06-2026
131,SW97,Gaibandha,Ghagot,Non-Tidal,Gaibandha,Gaibandha Sadar,25.3392,89.5510,01-07-1946,31-07-2026
132,SW155,Mohimaganj Railway Crossi,Katakhali,Non-Tidal,Gaibandha,Gobindaganj,25.1112,89.5040,01-01-1959,30-06-2026
133,SW63,Chak-Rahimpur,Deonai_Charalkata_Jamuneswari_Karatoa,Non-Tidal,Gaibandha,Gobindaganj,25.1475,89.3600,01-01-1946,30-06-2026
134,SW47.3R,Patilbarichar,Brahmaputra-Jamuna,Tidal,Gaibandha,Saghatta,25.0791,89.6100,01-04-1964,31-12-1984
135,SW46.5,Saghata,Brahmaputra-Jamuna,Non-Tidal,Gaibandha,Saghatta,25.1075,89.5866,19-06-2021,31-07-2026
136,SW294.5,Haripur,Teesta,Non-Tidal,Gaibandha,Sundarganj,25.5192,89.6506,01-05-1998,30-06-2026
137,SW7,Pubail,Balu,Tidal,Gazipur,Gazipur Sadar,23.9349,90.4898,01-07-1945,30-06-2026
138,SW301,Kaliakoir,Turag,Non-Tidal,Gazipur,Kaliakair,24.0822,90.2076,01-06-1949,30-06-2026
139,SW229,Toke,Old Brahmaputra,Tidal,Gazipur,Sreepur,24.2631,90.6426,01-04-1949,31-07-2026
140,SW198,Haridaspur,Madaripur Beel Route,Tidal,Gopalganj,Gopalganj Sadar,23.0296,89.8144,01-04-1959,31-07-2026
141,SW102,Bhatiapara,Gorai-Madhumati-Haringhata-Baleswar,Tidal,Gopalganj,Kashiani,23.2151,89.6959,01-07-1951,31-07-2026
142,SW271,Azmiriganj,Surma-Meghna,Tidal,Habiganj,Ajmiriganj,24.5529,91.2267,01-04-1956,30-06-2026
143,SW138,Sofiabad,Korangi,Non-Tidal,Habiganj,Bahubal,24.2930,91.5465,01-08-1958,31-07-2026
144,SW270,Markuli,Surma-Meghna,Tidal,Habiganj,Baniachong,24.6952,91.3790,01-04-1968,30-06-2026
145,SW158,Chunarghat,Khowai,Non-Tidal,Habiganj,Chunarughat,24.2026,91.5273,01-09-1957,31-12-2022
146,SW157,Ballah,Khowai,Non-Tidal,Habiganj,Chunarughat,24.0838,91.5961,01-08-1957,31-07-2026
147,SW159,Habiganj,Khowai,Non-Tidal,Habiganj,Habiganj Sadar,24.3681,91.4277,01-01-1949,30-06-2026
148,SW158.1,Shaistaganj,Khowai,Non-Tidal,Habiganj,Habiganj Sadar,24.2731,91.4736,02-06-1964,31-07-2026
149,SW280,Sutang Rly.Brid,Sutang,Non-Tidal,Habiganj,Habiganj Sadar,24.2828,91.4030,01-04-1964,30-06-2026
150,SW272,Madna,Surma-Meghna,Tidal,Habiganj,Lakhai,24.3358,91.2376,01-04-1949,30-06-2026
151,SW264A,Montala,Sonai,Non-Tidal,Habiganj,Madhabpur,24.0834,91.3506,07-06-1988,31-07-2026
152,SW223,Goal Kanda,Nil Jinjiram,Non-Tidal,Jamalpur,Dewanganj,25.3652,89.8095,01-04-1945,30-06-2026
153,SW46.7L,Kholabarichar,Old Brahmaputra,Non-Tidal,Jamalpur,Dewanganj,25.2275,89.7532,01-04-1964,30-06-2026
154,SW47.3L,Jognaichar,Brahmaputra-Jamuna,Tidal,Jamalpur,Islampur,25.0634,89.6900,01-04-1965,31-12-1984
155,SW47,Bahadurabad,Brahmaputra-Jamuna,Non-Tidal,Jamalpur,Islampur,25.1106,89.6800,01-04-1962,31-10-1985
156,SW46.9L,Bahadurabad_Transit,Brahmaputra-Jamuna,Non-Tidal,Jamalpur,Islampur,25.1303,89.7346,01-04-1949,31-07-2026
157,SW225,Jamalpur,Old Brahmaputra,Non-Tidal,Jamalpur,Jamalpur Sadar,24.9224,89.9677,01-07-1945,31-07-2026
158,SW134B,Offtake of Jhenai,Jhenai,Non-Tidal,Jamalpur,Melandaha,24.9495,89.8987,01-04-1966,31-10-2024
159,SW48,Jaganathganj,Brahmaputra-Jamuna,Non-Tidal,Jamalpur,Sarishabari,24.6419,89.8046,01-04-1962,31-07-2026
160,SW134A,Baushi Bridge,Jhenai,Non-Tidal,Jamalpur,Sarishabari,24.7802,89.8521,01-04-1964,24-12-2025
161,SW161,Tahirpur,Kobadak,Non-Tidal,Jessore,Chaugachha,23.3464,89.0274,01-04-1965,31-07-2026
162,SW30,Afraghat,Bhairab(lower),Tidal,Jessore,Jessore Sadar,23.1174,89.3849,01-04-1956,31-07-2026
163,SW162,Jhikargacha,Kobadak,Tidal,Jessore,Jhikargachha,23.1054,89.0938,01-04-1977,31-07-2026
164,SW27,Keshabpur,Bhadra,Tidal,Jessore,Keshabpur,22.9092,89.2217,01-12-1955,31-07-2026
165,SW22,Navaron,Betna-Kholpetua,Tidal,Jessore,Sharsha,23.0573,89.0053,01-04-1983,31-03-1984
166,SW37,Jhalokati,Bishkhali,Tidal,Jhalokathi,Jhalokati Sadar,22.6432,90.2077,01-05-1952,31-07-2026
167,SW215,Jhenaidah,Nabaganga,Non-Tidal,Jhenaidah,Jhenaidah Sadar,23.5483,89.1754,05-07-1949,31-07-2026
